nombre,comuna,franja_distancia_comisaria,superficie_interseccion_km2,factor_area_barrio,POBLACION,poblacion_estimada
Chacarita,15,CERCANA (501-900 m),1.2653446316385355,0.4062909766819907,27761,11279.043803668745
Chacarita,15,INTERMEDIA (901-1350 m),1.0048824608074751,0.3226588758853652,27761,8957.333053453624
Chacarita,15,ALEJADA (MAS DE 1350 m),0.07911698855448274,0.025403765700032013,27761,705.2339395985887
Coghlan,12,ENTORNO INMEDIATO (0-500 m),0.10833282100858108,0.08467320257336143,18604,1575.260260674816
Coghlan,12,CERCANA (501-900 m),0.49691699964509456,0.38839156389884133,18604,7225.6366547740445
Coghlan,12,INTERMEDIA (901-1350 m),0.674172921325632,0.5269352335277822,18604,9803.10308455086
Colegiales,13,ENTORNO INMEDIATO (0-500 m),0.1006864604445598,0.04399103971399628,52551,2311.7731280102184
Colegiales,13,CERCANA (501-900 m),0.5748514155484747,0.2511590072725244,52551,13198.656991178428
Colegiales,13,INTERMEDIA (901-1350 m),1.1121681211295986,0.4859186803194083,52551,25535.512569465227
Colegiales,13,ALEJADA (MAS DE 1350 m),0.5010887460606082,0.21893127269407198,52551,11505.057311346176
Constitucion,1,ENTORNO INMEDIATO (0-500 m),1.1351268456880867,0.5402767700104902,44107,23829.987494852692
Constitucion,1,CERCANA (501-900 m),0.7113885457022568,0.3385936181092551,44107,14934.348713944913
Constitucion,1,INTERMEDIA (901-1350 m),0.2544945144511567,0.12112961188025756,44107,5342.66379120252
Flores,7,ENTORNO INMEDIATO (0-500 m),1.3128828299512245,0.15288938807049984,164310,25121.255353863828
Flores,7,CERCANA (501-900 m),2.2683578382926033,0.26415749670087646,164310,43403.718282921014
Flores,7,INTERMEDIA (901-1350 m),2.343889524883307,0.2729534022297914,164310,44848.973520377025
Flores,7,ALEJADA (MAS DE 1350 m),2.662011442535888,0.309999712998837,164310,50936.05284283891
Floresta,10,ENTORNO INMEDIATO (0-500 m),0.7371282254132775,0.3177697817234846,37575,11940.199548259932
Floresta,10,CERCANA (501-900 m),1.0696994590874334,0.46113844498813633,37575,17327.277070429223
Floresta,10,INTERMEDIA (901-1350 m),0.3783471917249743,0.16310229399061735,37575,6128.568696697447
Floresta,10,ALEJADA (MAS DE 1350 m),0.13451776860455408,0.05798947929776208,37575,2178.9546846134103
Liniers,9,ENTORNO INMEDIATO (0-500 m),0.4817173501764209,0.11016412300156742,44132,4861.763076305173
Liniers,9,CERCANA (501-900 m),1.3645400463298554,0.3120571792761736,44132,13771.707435816093
Liniers,9,INTERMEDIA (901-1350 m),1.3164761325566539,0.30106542465718694,44132,13286.619320970975
Liniers,9,ALEJADA (MAS DE 1350 m),1.209990884760677,0.27671327306507143,44132,12211.910166907732
Mataderos,9,ENTORNO INMEDIATO (0-500 m),0.7841371226362897,0.10603275522764871,64436,6832.326615848772
Mataderos,9,CERCANA (501-900 m),2.020864152466549,0.2732657182539806,64436,17608.149821413495
Mataderos,9,INTERMEDIA (901-1350 m),3.046004060441838,0.4118874029039704,64436,26540.376693520237
Mataderos,9,ALEJADA (MAS DE 1350 m),1.5442294761205777,0.2088141236143991,64436,13455.14686921742
Monserrat,1,ENTORNO INMEDIATO (0-500 m),0.5955475809269039,0.27100086380667593,39914,10816.728477979663
Monserrat,1,CERCANA (501-900 m),1.4319098382574995,0.6515832076038409,39914,26007.292148299708
Monserrat,1,INTERMEDIA (901-1350 m),0.17012812560467866,0.07741592858948643,39914,3089.979373720761
Monte Castro,10,CERCANA (501-900 m),0.20686058902414045,0.07876068511406303,33623,2648.1705155901413
Monte Castro,10,INTERMEDIA (901-1350 m),0.313050485455321,0.11919172630255716,33623,4007.5834134708793
Monte Castro,10,ALEJADA (MAS DE 1350 m),2.1065336894856888,0.8020475885833719,33623,26967.246070938712
Nueva Pompeya,4,ENTORNO INMEDIATO (0-500 m),0.7489530939478916,0.15127137156130482,42695,6458.531208809909
Nueva Pompeya,4,CERCANA (501-900 m),1.6947296658808488,0.34229657778977596,42695,14614.352388734484
Nueva Pompeya,4,INTERMEDIA (901-1350 m),1.8268388917709946,0.3689796156966799,42695,15753.584692169748
Nueva Pompeya,4,ALEJADA (MAS DE 1350 m),0.6805347592583514,0.13745243495224232,42695,5868.531710285986
Nuñez,13,ENTORNO INMEDIATO (0-500 m),0.7662173392177843,0.17046879048512623,51949,8855.683196911823
Nuñez,13,CERCANA (501-900 m),1.1092200314989917,0.24678036827585006,51949,12819.993351562134
Nuñez,13,INTERMEDIA (901-1350 m),1.0006275487992713,0.22262060545907997,51949,11564.917832993746
